,exposure,chemi
830,0.0,000117-81-7
831,0.0,000117-81-7
832,0.0,000117-81-7
833,0.0,000117-81-7
834,0.0,000117-81-7
835,0.0,000117-81-7
836,0.0,000117-81-7
837,0.0,000117-81-7
838,0.0,000117-81-7
839,0.0,000117-81-7
840,0.0,000117-81-7
841,0.0,000117-81-7
842,0.0,000117-81-7
843,0.0,000117-81-7
844,0.0,000117-81-7
845,0.0,000117-81-7
846,0.0,000117-81-7
847,0.0,000117-81-7
848,0.0,000117-81-7
849,0.0,000117-81-7
850,0.0,000117-81-7
851,0.0,000117-81-7
852,0.0,000117-81-7
853,0.0,000117-81-7
854,0.0,000117-81-7
855,0.0,000117-81-7
856,0.0,000117-81-7
857,0.0,000117-81-7
858,0.0,000117-81-7
859,0.0,000117-81-7
860,0.0,000117-81-7
861,0.0,000117-81-7
862,0.0,000117-81-7
863,0.0,000117-81-7
864,0.0,000117-81-7
865,0.0,000117-81-7
866,0.0,000117-81-7
867,0.0,000117-81-7
868,0.0,000117-81-7
869,0.0,000117-81-7
870,0.0,000117-81-7
871,0.0,000117-81-7
872,0.0,000117-81-7
873,0.0,000117-81-7
874,0.0,000117-81-7
875,0.0,000117-81-7
876,0.0,000117-81-7
877,0.0,000117-81-7
878,0.0,000117-81-7
879,0.0,000117-81-7
880,0.0,000117-81-7
881,0.0,000117-81-7
882,0.0,000117-81-7
883,0.0,000117-81-7
884,0.0,000117-81-7
885,0.0,000117-81-7
886,0.0,000117-81-7
887,0.0,000117-81-7
888,0.0,000117-81-7
889,0.0,000117-81-7
890,0.0,000117-81-7
891,0.0,000117-81-7
892,0.0,000117-81-7
893,0.0,000117-81-7
894,0.0,000117-81-7
895,0.0,000117-81-7
896,0.0,000117-81-7
897,0.0,000117-81-7
898,0.0,000117-81-7
899,0.0,000117-81-7
900,2.6519827404255322e-06,000117-81-7
901,0.0,000117-81-7
902,0.0,000117-81-7
903,0.0,000117-81-7
904,0.0,000117-81-7
905,0.0,000117-81-7
906,0.0,000117-81-7
907,0.0,000117-81-7
908,0.0,000117-81-7
909,0.0,000117-81-7
910,0.0,000117-81-7
911,0.0,000117-81-7
912,1.5311267234042554e-07,000117-81-7
913,0.0,000117-81-7
914,0.0,000117-81-7
915,0.0,000117-81-7
916,0.0,000117-81-7
917,0.0,000117-81-7
918,0.0,000117-81-7
919,0.0,000117-81-7
920,0.0,000117-81-7
921,0.0,000117-81-7
922,0.0,000117-81-7
923,0.0,000117-81-7
924,0.0,000117-81-7
925,0.0,000117-81-7
926,0.0,000117-81-7
927,0.0,000117-81-7
928,0.0,000117-81-7
929,0.0,000117-81-7
930,0.0,000117-81-7
931,0.0,000117-81-7
932,0.0,000117-81-7
933,0.0,000117-81-7
934,0.0,000117-81-7
935,0.0,000117-81-7
936,0.0,000117-81-7
937,0.0,000117-81-7
938,0.0,000117-81-7
939,0.0,000117-81-7
940,0.0,000117-81-7
941,0.0,000117-81-7
942,0.0,000117-81-7
943,0.0,000117-81-7
944,0.0,000117-81-7
945,0.0,000117-81-7
946,0.0,000117-81-7
947,0.0,000117-81-7
948,0.0,000117-81-7
949,0.0,000117-81-7
950,0.0,000117-81-7
951,0.0,000117-81-7
952,0.0,000117-81-7
953,0.0,000117-81-7
954,0.0,000117-81-7
955,0.0,000117-81-7
956,0.0,000117-81-7
957,0.0,000117-81-7
958,0.0,000117-81-7
959,0.0,000117-81-7
960,0.0,000117-81-7
961,0.0,000117-81-7
962,0.0,000117-81-7
963,0.0,000117-81-7
964,0.0,000117-81-7
965,0.0,000117-81-7
966,0.0,000117-81-7
967,0.0,000117-81-7
968,0.0,000117-81-7
969,2.2463735604370333e-05,000117-81-7
970,0.0,000117-81-7
971,0.0,000117-81-7
972,0.0,000117-81-7
973,0.0,000117-81-7
974,0.0,000117-81-7
975,0.0,000117-81-7
976,0.0,000117-81-7
977,0.0,000117-81-7
978,0.0,000117-81-7
979,0.0,000117-81-7
980,0.0,000117-81-7
981,0.0,000117-81-7
982,0.0,000117-81-7
983,0.0,000117-81-7
984,0.0,000117-81-7
985,0.0,000117-81-7
986,0.0,000117-81-7
987,0.0,000117-81-7
988,0.0,000117-81-7
989,0.0,000117-81-7
990,0.0,000117-81-7
991,0.0,000117-81-7
992,0.0,000117-81-7
993,0.0,000117-81-7
994,0.0,000117-81-7
995,0.0,000117-81-7
996,0.0,000117-81-7
997,0.0,000117-81-7
998,0.0,000117-81-7
999,0.0,000117-81-7
1000,0.0,000117-81-7
1001,0.0,000117-81-7
1002,0.0,000117-81-7
1003,0.0,000117-81-7
1004,0.0,000117-81-7
1005,0.0,000117-81-7
1006,0.0,000117-81-7
1007,0.0,000117-81-7
1008,0.0,000117-81-7
1009,0.0,000117-81-7
1010,0.0,000117-81-7
1011,0.0,000117-81-7
1012,0.0,000117-81-7
1013,0.0,000117-81-7
1014,0.0,000117-81-7
